mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__model__C,param_classifier__threshold,params,split0_test_Self_Score,split1_test_Self_Score,split2_test_Self_Score,split3_test_Self_Score,split4_test_Self_Score,mean_test_Self_Score,std_test_Self_Score,rank_test_Self_Score,split0_test_F1,split1_test_F1,split2_test_F1,split3_test_F1,split4_test_F1,mean_test_F1,std_test_F1,rank_test_F1,split0_test_Recall,split1_test_Recall,split2_test_Recall,split3_test_Recall,split4_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_test_ROC_AUC,split1_test_ROC_AUC,split2_test_ROC_AUC,split3_test_ROC_AUC,split4_test_ROC_AUC,mean_test_ROC_AUC,std_test_ROC_AUC,rank_test_ROC_AUC,split0_test_Balanced_Accuracy,split1_test_Balanced_Accuracy,split2_test_Balanced_Accuracy,split3_test_Balanced_Accuracy,split4_test_Balanced_Accuracy,mean_test_Balanced_Accuracy,std_test_Balanced_Accuracy,rank_test_Balanced_Accuracy
52.346043539047244,3.012269637104796,2.3905050277709963,0.32548635356834216,0.0023052380778996184,0.2,"{'classifier__model__C': 0.0023052380778996184, 'classifier__threshold': 0.2}",-0.8326660027235219,-0.8277677282982053,-0.8255929757525253,-0.8290075404971443,-0.8323408060811772,-0.8294750106705149,0.0027055036567858225,16,0.16195856873822978,0.16287149434910003,0.1632968825140611,0.16267702719639054,0.16205376725920664,0.16257154801139762,0.0005041912933390997,16,0.974320241691843,0.979607250755287,0.9831319234642497,0.9803625377643505,0.9765861027190332,0.9788016112789526,0.0030603366362583315,1,0.18599215463100344,0.1870490437186236,0.1866628727058393,0.18526046218572792,0.18467104327147824,0.1859271153025345,0.0008748069234915175,16,0.7390411159751727,0.7327438012270865,0.7323634775048857,0.7358391826648665,0.7344495997396888,0.7348874354223401,0.0024214093485315775,1,0.5455408058046869,0.5485270108161896,0.5499245369825173,0.5478986625897522,0.545855677108483,0.5475493386603258,0.0016505835820178284,16
39.38637299537659,2.2508201055112287,2.8739640712738037,0.44848187848316245,0.0023052380778996184,0.3,"{'classifier__model__C': 0.0023052380778996184, 'classifier__threshold': 0.3}",-0.7090303042621084,-0.7076888681124367,-0.7031767646999044,-0.7036035852929818,-0.7070384748277474,-0.7061075994390358,0.00231382895657124,12,0.18580094931086125,0.186115139026686,0.18714223929579976,0.1870554946595631,0.18627801317065698,0.1864783670927134,0.000530051639682676,12,0.9214501510574018,0.9209466263846928,0.9259818731117825,0.9237160120845922,0.9186807653575025,0.9221550855991945,0.0024943536911381397,5,0.3480417064693807,0.3497489888416902,0.350602630027845,0.3518221174366375,0.35204569012824943,0.35045222658076053,0.0014658443816521224,12,0.7390411159751727,0.7327438012270865,0.7323634775048857,0.7358391826648665,0.7344495997396888,0.7348874354223401,0.0024214093485315775,1,0.6095676322953771,0.6102665874190594,0.6130274175747066,0.6126572719999781,0.6104823491162139,0.6112002516810671,0.0013794203505750364,12
50.39751930236817,6.777167877292695,3.5448307037353515,0.8819683019344322,0.0023052380778996184,0.4,"{'classifier__model__C': 0.0023052380778996184, 'classifier__threshold': 0.4}",-0.6033007459197984,-0.6107802686937257,-0.606999857726469,-0.6036462673522895,-0.6066949858742708,-0.6062844251133106,0.002711281297239506,9,0.21895204741379315,0.2165643554392674,0.2177240684793555,0.21907504658648144,0.2182373917473255,0.2181105819332446,0.0009159198624289846,9,0.8184793554884189,0.8126888217522659,0.8164652567975831,0.8139476334340383,0.8089123867069486,0.814098690835851,0.0032771681964295857,8,0.5285868173411109,0.5253145261275177,0.5263510904249914,0.5315339119123595,0.5321436556167558,0.528786000284547,0.002714570328292001,9,0.7390411159751727,0.7327438012270865,0.7323634775048857,0.7358391826648665,0.7344495997396888,0.7348874354223401,0.0024214093485315775,1,0.6608039396115954,0.6563831028657856,0.6586692951391573,0.6603400198168003,0.6583751391625792,0.6589142993191837,0.0015723292009261643,6
28.010446786880493,10.506342479810526,3.0898520946502686,1.736915769349085,0.0023052380778996184,0.5,"{'classifier__model__C': 0.0023052380778996184, 'classifier__threshold': 0.5}",-0.5510863600333327,-0.5689112009918498,-0.5645413711103433,-0.563931627405947,,,,17,0.2563761576822608,0.24881246437393123,0.25058114711324064,0.25126491646778043,,,,17,0.6795065458207452,0.6593655589123867,0.6649043303121853,0.6626384692849949,,,,17,0.6817747606755961,0.678583768622589,0.6789292900550802,0.6811853417613463,,,,17,0.7390411159751727,0.7327438012270865,0.7323634775048857,0.7358391826648665,,,,17,0.6807402502921409,0.6698185330656032,0.6725326444945702,0.6727262964833518,,,,17
31.12056941986084,12.740631957887052,2.232387924194336,1.2019936137853982,0.0023052380778996184,0.6,"{'classifier__model__C': 0.0023052380778996184, 'classifier__threshold': 0.6}",,-0.5858620759740656,-0.5917359403264161,-0.5810451007093351,-0.5679559358549623,,,17,,0.27180440377466397,0.26816522299377193,0.2749982105790566,0.2842295200288704,,,17,,0.4786002014098691,0.47155085599194363,0.4836354481369587,0.4957200402819738,,,17,,0.7929716875673258,0.7922196703319038,0.7941302006056787,0.7984390561167456,,,17,,0.7327438012270865,0.7323634775048857,0.7358391826648665,0.7344495997396888,,,17,,0.6495899589817039,0.6459657925850629,0.6525166119501482,0.6603719041092373,,,17
44.81477451324463,5.710613626580653,3.652626323699951,0.6437028129801855,1.1577444091526665,0.2,"{'classifier__model__C': 1.1577444091526665, 'classifier__threshold': 0.2}",-0.8271579845938091,-0.8214873681429239,-0.820776000487795,-0.8240686164915347,-0.8264669417288266,-0.823991382288978,0.0025600975290112566,14,0.1628558784481487,0.16389428354302119,0.16405673699074758,0.16347306648718002,0.16299448118970386,0.16345488933176028,0.0004746383849741215,14,0.972809667673716,0.9773413897280967,0.9798590130916415,0.9783484390735147,0.9740684793554885,0.9764853977844915,0.0026433846421765692,2,0.1925977114286295,0.1949757118757749,0.19385784841771508,0.1916627710818886,0.19237413873701753,0.1930936363082051,0.0011778983086305496,15,0.7394033155255553,0.7323686264173342,0.7326276807269939,0.7355992155128126,0.7344352440151435,0.7348868164395679,0.002551672755025202,4,0.548444675531346,0.5518049671229972,0.5523452132826489,0.5504623311465652,0.5488972037052487,0.5503908781577612,0.0015390222184708455,14
42.7510323047638,5.556188624694597,3.6603954792022706,0.7368234766682396,1.1577444091526665,0.3,"{'classifier__model__C': 1.1577444091526665, 'classifier__threshold': 0.3}",-0.7052295685047052,-0.7023027987236031,-0.6973638747179935,-0.6997012255848458,-0.7029531920082925,-0.7015101319078882,0.0027206081122481424,10,0.18670902290311012,0.1873924765695211,0.1885176542988282,0.1879981488147272,0.18726167164794394,0.18757579484682613,0.000624348408952999,10,0.9174219536757301,0.9186807653575025,0.9254783484390735,0.9204431017119838,0.9149043303121853,0.9193856998992951,0.0035404624030708747,6,0.354769212007886,0.35678136623239365,0.35678136623239365,0.3581024775919189,0.35887481961748746,0.3570618483364159,0.0013988063389652893,10,0.7394033155255553,0.7323686264173342,0.7326276807269939,0.7355992155128126,0.7344352440151435,0.7348868164395679,0.002551672755025202,4,0.6113895680072475,0.6130581301416622,0.6161584406194129,0.6145804798617184,0.6124743854130075,0.6135322008086097,0.0016691684305030745,10
38.435612773895265,14.726003141347217,2.666467809677124,1.3681636414340388,1.1577444091526665,0.4,"{'classifier__model__C': 1.1577444091526665, 'classifier__threshold': 0.4}",-0.5990935143594642,,-0.6063901140220728,-0.6040121135749273,-0.6051299770329871,,,17,0.22048899589677506,,0.2181044957472661,0.21916408352352076,0.2188789956674513,,,17,0.8184793554884189,,0.8134441087613293,0.8099194360523666,0.8076535750251762,,,17,0.5327940489014451,,0.5291559114652141,0.5340948354708238,0.5346232800146339,,,17,0.7394033155255553,,0.7326276807269939,0.7355992155128126,0.7344352440151435,,,17,0.6630922944281954,,0.6588169492490014,0.6598957104204437,0.659149699803375,,,17
45.221692419052125,5.4406460440589415,2.837376070022583,0.4291776275475621,1.1577444091526665,0.5,"{'classifier__model__C': 1.1577444091526665, 'classifier__threshold': 0.5}",-0.5537692323326762,-0.5693786711652202,-0.5667364484461698,-0.5635251316030162,-0.5635048068128696,-0.5633828580719904,0.005284945716946818,1,0.2551596527019975,0.24864556601083546,0.24951470100847498,0.2514318442153493,0.2521827215281463,0.2513868970929607,0.002275480430219411,4,0.6769889224572004,0.6586102719033232,0.6633937562940584,0.6631419939577039,0.6581067472306144,0.6640483383685801,0.006834964909483736,11,0.6809211194894412,0.6786650677831751,0.6778317513871669,0.6812259913416394,0.6849047783581634,0.6807097416719172,0.0024646722497160558,5,0.7394033155255553,0.7323686264173342,0.7326276807269939,0.7355992155128126,0.7344352440151435,0.7348868164395679,0.002551672755025202,4,0.6791276832764014,0.6695182735403769,0.671246724484556,0.6729780588197063,0.6726824611476426,0.6731106402537366,0.0032491538134720266,1
40.90490584373474,3.303035188314105,3.101466178894043,0.6763238269964037,1.1577444091526665,0.6,"{'classifier__model__C': 1.1577444091526665, 'classifier__threshold': 0.6}",-0.5670006707180748,-0.5863701957277291,-0.5903335298063047,-0.5795207414483445,-0.5667567732363163,-0.5779963821873538,0.009714773448981728,4,0.28270549155417346,0.2707609389405007,0.2682650021279614,0.27500708415981867,0.28389860764012853,0.2761274248845165,0.00625354729511347,1,0.5035246727089627,0.48061430010070494,0.47608257804632426,0.48867069486404835,0.500503524672709,0.4898791540785498,0.010739840150876196,14,0.7937237048027479,0.7910001829231114,0.7903294648482755,0.7919960976402919,0.7961626796203329,0.7926424259669519,0.0020988492734009033,2,0.7394033155255553,0.7323686264173342,0.7326276807269939,0.7355992155128126,0.7344352440151435,0.7348868164395679,0.002551672755025202,4,0.6613667936716894,0.6494362486375421,0.6470045647975546,0.6536523785403838,0.661315460406177,0.6545550892106694,0.005935145670423113,7
