mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__model__n_estimators,param_classifier__threshold,params,split0_test_Self_Score,split1_test_Self_Score,split2_test_Self_Score,split3_test_Self_Score,split4_test_Self_Score,mean_test_Self_Score,std_test_Self_Score,rank_test_Self_Score,split0_test_F1,split1_test_F1,split2_test_F1,split3_test_F1,split4_test_F1,mean_test_F1,std_test_F1,rank_test_F1,split0_test_Recall,split1_test_Recall,split2_test_Recall,split3_test_Recall,split4_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_test_ROC_AUC,split1_test_ROC_AUC,split2_test_ROC_AUC,split3_test_ROC_AUC,split4_test_ROC_AUC,mean_test_ROC_AUC,std_test_ROC_AUC,rank_test_ROC_AUC,split0_test_Balanced_Accuracy,split1_test_Balanced_Accuracy,split2_test_Balanced_Accuracy,split3_test_Balanced_Accuracy,split4_test_Balanced_Accuracy,mean_test_Balanced_Accuracy,std_test_Balanced_Accuracy,rank_test_Balanced_Accuracy
31.304810047149658,1.3212454722932194,2.326846122741699,0.1848586544447317,80,0.2,"{'classifier__model__n_estimators': 80, 'classifier__threshold': 0.2}",-0.9192699335379362,-0.9192699335379362,-0.9192699335379362,-0.9192699335379362,-0.9192699335379362,-0.9192699335379363,1.1102230246251565e-16,9,0.14939913113798356,0.14939913113798356,0.14939913113798356,0.14939913113798356,0.14939913113798356,0.14939913113798356,0.0,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.08073006646206378,0.08073006646206378,0.08073006646206378,0.08073006646206378,0.08073006646206378,0.08073006646206378,0.0,9,0.7278787524967772,0.7264136447671674,0.7189942344871951,0.7242580706614256,0.7274887265536062,0.7250066857932342,0.003258798010406402,16,0.5,0.5,0.5,0.5,0.5,0.5,0.0,5
29.26095838546753,1.2346545647193554,2.3937307357788087,0.23168403092633216,80,0.3,"{'classifier__model__n_estimators': 80, 'classifier__threshold': 0.3}",-0.9192699335379362,-0.9192699335379362,-0.9192699335379362,-0.9192699335379362,-0.9192699335379362,-0.9192699335379363,1.1102230246251565e-16,9,0.14939913113798356,0.14939913113798356,0.14939913113798356,0.14939913113798356,0.14939913113798356,0.14939913113798356,0.0,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.08073006646206378,0.08073006646206378,0.08073006646206378,0.08073006646206378,0.08073006646206378,0.08073006646206378,0.0,9,0.7278787524967772,0.7264136447671674,0.7189942344871951,0.7242580706614256,0.7274887265536062,0.7250066857932342,0.003258798010406402,16,0.5,0.5,0.5,0.5,0.5,0.5,0.0,5
31.170280504226685,0.5832224412763664,2.8549564361572264,0.12847412517905535,80,0.4,"{'classifier__model__n_estimators': 80, 'classifier__threshold': 0.4}",-0.9192699335379362,-0.9192699335379362,-0.9192699335379362,-0.9192699335379362,-0.9192699335379362,-0.9192699335379363,1.1102230246251565e-16,9,0.14939913113798356,0.14939913113798356,0.14939913113798356,0.14939913113798356,0.14939913113798356,0.14939913113798356,0.0,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.08073006646206378,0.08073006646206378,0.08073006646206378,0.08073006646206378,0.08073006646206378,0.08073006646206378,0.0,9,0.7278787524967772,0.7264136447671674,0.7189942344871951,0.7242580706614256,0.7274887265536062,0.7250066857932342,0.003258798010406402,16,0.5,0.5,0.5,0.5,0.5,0.5,0.0,5
31.63778781890869,0.4585441355729717,2.305009460449219,0.1248155895809769,80,0.5,"{'classifier__model__n_estimators': 80, 'classifier__threshold': 0.5}",-0.5697648421780045,-0.5755777321599155,-0.5895408629905896,-0.5770207922603199,-0.5680575598056951,-0.5759923578789049,0.007570132823044076,4,0.24912432224941222,0.245785186588369,0.2408084696823869,0.24647206649913012,0.25002405002405004,0.24644281900866966,0.0032309411434486707,4,0.6535750251762337,0.6533232628398792,0.6299093655589124,0.6419939577039275,0.654330312185297,0.6466263846928499,0.009522608768866746,16,0.6819373589967683,0.6763073921261763,0.6793561106481576,0.6830958720351212,0.6830958720351212,0.680758521168269,0.0026113361251179825,8,0.7278787524967772,0.7264136447671674,0.7189942344871951,0.7242580706614256,0.7274887265536062,0.7250066857932342,0.003258798010406402,16,0.6690015787845838,0.6658245578609399,0.6568039387877694,0.6643496950296374,0.6699761844151849,0.6651911909756232,0.004666272297509181,4
33.22027440071106,0.8183480601899575,2.652013349533081,0.22420792340370854,80,0.6,"{'classifier__model__n_estimators': 80, 'classifier__threshold': 0.6}",-0.8073006646206378,-0.8073006646206378,-0.8073006646206378,-0.8073006646206378,-0.8073006646206378,-0.8073006646206377,1.1102230246251565e-16,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.9192699335379362,0.9192699335379362,0.9192699335379362,0.9192699335379362,0.9192699335379362,0.9192699335379363,1.1102230246251565e-16,1,0.7278787524967772,0.7264136447671674,0.7189942344871951,0.7242580706614256,0.7274887265536062,0.7250066857932342,0.003258798010406402,16,0.5,0.5,0.5,0.5,0.5,0.5,0.0,5
33.085305309295656,1.8650701381266028,2.5967583656311035,0.45440163873484485,93,0.2,"{'classifier__model__n_estimators': 93, 'classifier__threshold': 0.2}",-0.9192699335379362,-0.9192699335379362,-0.9192699335379362,-0.9192699335379362,-0.9192699335379362,-0.9192699335379363,1.1102230246251565e-16,9,0.14939913113798356,0.14939913113798356,0.14939913113798356,0.14939913113798356,0.14939913113798356,0.14939913113798356,0.0,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.08073006646206378,0.08073006646206378,0.08073006646206378,0.08073006646206378,0.08073006646206378,0.08073006646206378,0.0,9,0.728396037290105,0.7274666001460577,0.7200628620422999,0.724891342361442,0.7281379793645839,0.7257909642408976,0.0031216378903632103,1,0.5,0.5,0.5,0.5,0.5,0.5,0.0,5
31.530457019805908,1.4167052013121175,2.5607447147369387,0.2948958256177278,93,0.3,"{'classifier__model__n_estimators': 93, 'classifier__threshold': 0.3}",-0.9192699335379362,-0.9192699335379362,-0.9192699335379362,-0.9192699335379362,-0.9192699335379362,-0.9192699335379363,1.1102230246251565e-16,9,0.14939913113798356,0.14939913113798356,0.14939913113798356,0.14939913113798356,0.14939913113798356,0.14939913113798356,0.0,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.08073006646206378,0.08073006646206378,0.08073006646206378,0.08073006646206378,0.08073006646206378,0.08073006646206378,0.0,9,0.728396037290105,0.7274666001460577,0.7200628620422999,0.724891342361442,0.7281379793645839,0.7257909642408976,0.0031216378903632103,1,0.5,0.5,0.5,0.5,0.5,0.5,0.0,5
31.15056357383728,1.8572886628863852,2.6848039627075195,0.3540863535654428,93,0.4,"{'classifier__model__n_estimators': 93, 'classifier__threshold': 0.4}",-0.9192699335379362,-0.9192699335379362,-0.9192699335379362,-0.9192699335379362,-0.9192699335379362,-0.9192699335379363,1.1102230246251565e-16,9,0.14939913113798356,0.14939913113798356,0.14939913113798356,0.14939913113798356,0.14939913113798356,0.14939913113798356,0.0,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.08073006646206378,0.08073006646206378,0.08073006646206378,0.08073006646206378,0.08073006646206378,0.08073006646206378,0.0,9,0.728396037290105,0.7274666001460577,0.7200628620422999,0.724891342361442,0.7281379793645839,0.7257909642408976,0.0031216378903632103,1,0.5,0.5,0.5,0.5,0.5,0.5,0.0,5
29.47350115776062,0.6976265215154124,2.848414182662964,0.14856800599724035,93,0.5,"{'classifier__model__n_estimators': 93, 'classifier__threshold': 0.5}",-0.5688502266214102,-0.5711266031178228,-0.585841751183919,-0.5762281254446048,-0.5662893030629459,-0.5736672018861405,0.006911863191994388,2,0.24955590762878677,0.24783971132845886,0.24257927506153773,0.24707651996700472,0.25067230119093353,0.24754474303534435,0.002785265314941336,2,0.654330312185297,0.6570996978851964,0.6326787512588117,0.6409869083585096,0.6570996978851964,0.6484390735146022,0.009885768004279663,13,0.6823032052194061,0.6780146744984858,0.6810430682303206,0.6846202312961118,0.6828519745533628,0.6817666307595374,0.0022004380401477847,7,0.728396037290105,0.7274666001460577,0.7200628620422999,0.724891342361442,0.7281379793645839,0.7257909642408976,0.0031216378903632103,1,0.6695450451019125,0.668475560322465,0.6589845811391452,0.6647195038376599,0.6711066156188457,0.6665662612040056,0.004336491213471818,2
30.657806062698363,1.3004547268471078,2.666278839111328,0.453958993372357,93,0.6,"{'classifier__model__n_estimators': 93, 'classifier__threshold': 0.6}",-0.8073006646206378,-0.8073006646206378,-0.8073006646206378,-0.8073006646206378,-0.8073006646206378,-0.8073006646206377,1.1102230246251565e-16,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.9192699335379362,0.9192699335379362,0.9192699335379362,0.9192699335379362,0.9192699335379362,0.9192699335379363,1.1102230246251565e-16,1,0.728396037290105,0.7274666001460577,0.7200628620422999,0.724891342361442,0.7281379793645839,0.7257909642408976,0.0031216378903632103,1,0.5,0.5,0.5,0.5,0.5,0.5,0.0,5
