mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__model__colsample_bytree,param_classifier__threshold,params,split0_test_Self_Score,split1_test_Self_Score,split2_test_Self_Score,split3_test_Self_Score,split4_test_Self_Score,mean_test_Self_Score,std_test_Self_Score,rank_test_Self_Score,split0_test_F1,split1_test_F1,split2_test_F1,split3_test_F1,split4_test_F1,mean_test_F1,std_test_F1,rank_test_F1,split0_test_Recall,split1_test_Recall,split2_test_Recall,split3_test_Recall,split4_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_test_ROC_AUC,split1_test_ROC_AUC,split2_test_ROC_AUC,split3_test_ROC_AUC,split4_test_ROC_AUC,mean_test_ROC_AUC,std_test_ROC_AUC,rank_test_ROC_AUC,split0_test_Balanced_Accuracy,split1_test_Balanced_Accuracy,split2_test_Balanced_Accuracy,split3_test_Balanced_Accuracy,split4_test_Balanced_Accuracy,mean_test_Balanced_Accuracy,std_test_Balanced_Accuracy,rank_test_Balanced_Accuracy
36.81879634857178,0.6471911133962944,2.8081007480621336,0.2685401479212804,0.3,0.1,"{'classifier__model__colsample_bytree': 0.3, 'classifier__threshold': 0.1}",-0.9192699335379362,-0.9192699335379362,-0.9192699335379362,-0.9192699335379362,-0.9192699335379362,-0.9192699335379363,1.1102230246251565e-16,16,0.14939913113798356,0.14939913113798356,0.14939913113798356,0.14939913113798356,0.14939913113798356,0.14939913113798356,0.0,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.08073006646206378,0.08073006646206378,0.08073006646206378,0.08073006646206378,0.08073006646206378,0.08073006646206378,0.0,16,0.7281351405047474,0.7273421634565619,0.7199975960980216,0.7247460094369935,0.7279883046545033,0.7256418428301654,0.0030748510618024364,1,0.5,0.5,0.5,0.5,0.5,0.5,0.0,4
39.16128969192505,3.1147205342286406,2.324744987487793,0.11221049382178899,0.3,0.2,"{'classifier__model__colsample_bytree': 0.3, 'classifier__threshold': 0.2}",-0.9192699335379362,-0.9192699335379362,-0.9192699335379362,-0.9192699335379362,-0.9192699335379362,-0.9192699335379363,1.1102230246251565e-16,16,0.14939913113798356,0.14939913113798356,0.14939913113798356,0.14939913113798356,0.14939913113798356,0.14939913113798356,0.0,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.08073006646206378,0.08073006646206378,0.08073006646206378,0.08073006646206378,0.08073006646206378,0.08073006646206378,0.0,16,0.7281351405047474,0.7273421634565619,0.7199975960980216,0.7247460094369935,0.7279883046545033,0.7256418428301654,0.0030748510618024364,1,0.5,0.5,0.5,0.5,0.5,0.5,0.0,4
40.290699577331544,1.8984651530740049,2.638844347000122,0.4675578595120672,0.3,0.30000000000000004,"{'classifier__model__colsample_bytree': 0.3, 'classifier__threshold': 0.30000000000000004}",-0.9192699335379362,-0.9192699335379362,-0.9192699335379362,-0.9192699335379362,-0.9192699335379362,-0.9192699335379363,1.1102230246251565e-16,16,0.14939913113798356,0.14939913113798356,0.14939913113798356,0.14939913113798356,0.14939913113798356,0.14939913113798356,0.0,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.08073006646206378,0.08073006646206378,0.08073006646206378,0.08073006646206378,0.08073006646206378,0.08073006646206378,0.0,16,0.7281351405047474,0.7273421634565619,0.7199975960980216,0.7247460094369935,0.7279883046545033,0.7256418428301654,0.0030748510618024364,1,0.5,0.5,0.5,0.5,0.5,0.5,0.0,4
36.22920384407043,2.523080580267705,2.6073005199432373,0.38304526774140474,0.3,0.4,"{'classifier__model__colsample_bytree': 0.3, 'classifier__threshold': 0.4}",-0.9192699335379362,-0.9192699335379362,-0.9192699335379362,-0.9192699335379362,-0.9192699335379362,-0.9192699335379363,1.1102230246251565e-16,16,0.14939913113798356,0.14939913113798356,0.14939913113798356,0.14939913113798356,0.14939913113798356,0.14939913113798356,0.0,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.08073006646206378,0.08073006646206378,0.08073006646206378,0.08073006646206378,0.08073006646206378,0.08073006646206378,0.0,16,0.7281351405047474,0.7273421634565619,0.7199975960980216,0.7247460094369935,0.7279883046545033,0.7256418428301654,0.0030748510618024364,1,0.5,0.5,0.5,0.5,0.5,0.5,0.0,4
34.96794466972351,3.12055648136823,2.711826133728027,0.41472369542792176,0.3,0.5,"{'classifier__model__colsample_bytree': 0.3, 'classifier__threshold': 0.5}",-0.5676104144224711,-0.5719395947236845,-0.5847442125160057,-0.5749070140850796,-0.565130790024593,-0.5728664051543669,0.006834772126596314,1,0.2501802797942407,0.24750688574413526,0.2431478706433992,0.2478229141328144,0.2513603312948428,0.24800365632188645,0.0028235814107514783,1,0.6550855991943605,0.6560926485397784,0.6331822759315207,0.6412386706948641,0.6570996978851964,0.648539778449144,0.009615871199268723,13,0.6829942480843886,0.6779333753378997,0.6817747606755961,0.6857584195443182,0.6840104875917156,0.6824942582467837,0.002627661313942798,13,0.7281351405047474,0.7273421634565619,0.7199975960980216,0.7247460094369935,0.7279883046545033,0.7256418428301654,0.0030748510618024364,1,0.6702653890862249,0.667972035649756,0.6596122085178397,0.6654534019860932,0.6717367423074747,0.6670079555094778,0.004266508146625274,1
31.86142153739929,2.4029146624044824,2.7893226623535154,0.5281621048328531,0.3,0.6,"{'classifier__model__colsample_bytree': 0.3, 'classifier__threshold': 0.6}",-0.8073006646206378,-0.8073006646206378,-0.8073006646206378,-0.8073006646206378,-0.8073006646206378,-0.8073006646206377,1.1102230246251565e-16,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.9192699335379362,0.9192699335379362,0.9192699335379362,0.9192699335379362,0.9192699335379362,0.9192699335379363,1.1102230246251565e-16,1,0.7281351405047474,0.7273421634565619,0.7199975960980216,0.7247460094369935,0.7279883046545033,0.7256418428301654,0.0030748510618024364,1,0.5,0.5,0.5,0.5,0.5,0.5,0.0,4
30.966222715377807,3.5218398910507935,2.5683701992034913,0.2303672857018026,0.3,0.7000000000000001,"{'classifier__model__colsample_bytree': 0.3, 'classifier__threshold': 0.7000000000000001}",-0.8073006646206378,-0.8073006646206378,-0.8073006646206378,-0.8073006646206378,-0.8073006646206378,-0.8073006646206377,1.1102230246251565e-16,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.9192699335379362,0.9192699335379362,0.9192699335379362,0.9192699335379362,0.9192699335379362,0.9192699335379363,1.1102230246251565e-16,1,0.7281351405047474,0.7273421634565619,0.7199975960980216,0.7247460094369935,0.7279883046545033,0.7256418428301654,0.0030748510618024364,1,0.5,0.5,0.5,0.5,0.5,0.5,0.0,4
29.371220541000366,1.9125846701180598,2.5926156044006348,0.3608414518689512,0.3,0.8,"{'classifier__model__colsample_bytree': 0.3, 'classifier__threshold': 0.8}",-0.8073006646206378,-0.8073006646206378,-0.8073006646206378,-0.8073006646206378,-0.8073006646206378,-0.8073006646206377,1.1102230246251565e-16,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.9192699335379362,0.9192699335379362,0.9192699335379362,0.9192699335379362,0.9192699335379362,0.9192699335379363,1.1102230246251565e-16,1,0.7281351405047474,0.7273421634565619,0.7199975960980216,0.7247460094369935,0.7279883046545033,0.7256418428301654,0.0030748510618024364,1,0.5,0.5,0.5,0.5,0.5,0.5,0.0,4
29.576556491851807,2.8471656802110017,2.992793083190918,0.5209609065122365,0.3,0.9,"{'classifier__model__colsample_bytree': 0.3, 'classifier__threshold': 0.9}",-0.8073006646206378,-0.8073006646206378,-0.8073006646206378,-0.8073006646206378,-0.8073006646206378,-0.8073006646206377,1.1102230246251565e-16,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.9192699335379362,0.9192699335379362,0.9192699335379362,0.9192699335379362,0.9192699335379362,0.9192699335379363,1.1102230246251565e-16,1,0.7281351405047474,0.7273421634565619,0.7199975960980216,0.7247460094369935,0.7279883046545033,0.7256418428301654,0.0030748510618024364,1,0.5,0.5,0.5,0.5,0.5,0.5,0.0,4
33.19326982498169,1.4057602107464102,2.900225782394409,0.44325474531842524,0.5,0.1,"{'classifier__model__colsample_bytree': 0.5, 'classifier__threshold': 0.1}",-0.9192699335379362,-0.9192699335379362,-0.9192699335379362,-0.9192699335379362,-0.9192699335379362,-0.9192699335379363,1.1102230246251565e-16,16,0.14939913113798356,0.14939913113798356,0.14939913113798356,0.14939913113798356,0.14939913113798356,0.14939913113798356,0.0,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.08073006646206378,0.08073006646206378,0.08073006646206378,0.08073006646206378,0.08073006646206378,0.08073006646206378,0.0,16,0.726398111750749,0.7228434473225732,0.7170538097755059,0.7188756341595396,0.7224388763975346,0.7215219758811804,0.00326592489813822,10,0.5,0.5,0.5,0.5,0.5,0.5,0.0,4
